Date_Time,Username,Opeartion
2026-05-28 11:23,Admin,Logged In
2026-05-28 11:24,Admin,Logged Out
2026-05-28 12:13,Admin,Logged In
2026-05-28 12:16,Admin,Logged In
2026-05-28 22:27,Admin,Loged In
2026-05-28 22:27,Admin,Logged Out
2026-05-29 14:12,aegonv,Registration
2026-05-29 14:21,redrobwedding,Registration
2026-05-29 14:42,Admin,Logged In
2026-05-29 15:54,ashpibit02,Registration
2026-05-29 15:56,Admin,Registration
2026-05-29 16:36,Admin,Logged In
2026-05-29 16:36,Admin,Logged Out
2026-05-29 16:36,ashpibit02,Logged In
